fid,extensao,consorcio,descricao_desvio,tipo_rota,shape_id,direcao,destino,servico,SHAPE__Length,tipo_dia
122,13716,Intersul,,regular,5dva,1,Terminal Gentileza,LECD136,13716.191001689,U
123,14112,Santa Cruz,,regular,5ef72db7-bb22-49e7-9a86-ccff200ce752,1,Jardim Palmares,893,14112.7803233329,U
124,39799,Internorte,,regular,5fzx,0,Passeio,399,39799.5905381857,U
125,33031,Internorte,,regular,5hoo,0,Saens Peña,634,33031.276429915,U
126,41008,Internorte,,regular,5hus,1,Bananal,SN634,41008.7388675542,U
127,29253,Internorte,,regular,5hya,1,Padre Miguel,SV917,29253.0692920549,U
128,23471,Santa Cruz,,regular,5i6v,0,Circular,SN895,23471.4516650908,U
129,11445,Intersul,,regular,5icv,1,Andaraí,217,11445.1505311782,U
130,8053,Santa Cruz,,regular,5lsi,0,Circular,894,8053.92462152558,U
131,28651,Transcarioca,,regular,5lyo,0,Recreio dos Bandeirantes,961,28651.1459169174,U
132,28523,Internorte,,regular,5mve,0,Bonsucesso,SV917,28523.6942463376,U
133,48434,Transcarioca,,regular,5ppb,1,Recreio dos Bandeirantes,361,48434.4505003183,U
134,31295,Transcarioca,,regular,5rss,1,Méier,692,31295.6611571909,U
135,17652,MOBI-Rio,,brt,5xgw,1,Terminal Margaridas,70,17652.4361523648,U
136,6353,Transcarioca,,regular,60cm,1,Colônia,SV831,6353.65185419212,U
137,27434,Transcarioca,,regular,60or,1,Terminal Taquara,SN810,27434.8695504721,U
138,24175,Internorte,,regular,60pk,1,Madureira,254,24175.4445329141,U
139,23917,Intersul,,regular,60xl,0,Circular,LECD133,23917.2317002703,U
140,21897,Internorte,,regular,61z8,1,Terminal Deodoro,908,21897.0579692896,U
141,26845,Internorte,,regular,62cfa6d6-5bae-4012-b0e0-b8ac4dc2cce9,1,Bananal,910,26845.8678851478,U
142,24257,Transcarioca,,frescao,62h7,1,Riocentro,2613,24257.9678175582,U
143,12406,Intersul,,regular,62mw,1,Furnas,448,12406.5761939706,U
144,28247,Internorte,,regular,63ul,1,Bananal,323,28247.5913164169,U
145,22505,Internorte,,regular,648e,1,Engenheiro Leal,311,22505.0177984423,U
146,14369,Intersul,,regular,67l0,0,Circular,519,14369.076697065,U
147,12388,Intersul,,regular,68m6,0,Alto Gávea,LECD128,12388.9633150018,U
148,33463,Internorte,,regular,68r3,1,Méier,696,33463.2120832107,U
